count,language,file
1062,(unknown),AceEditorExample.sava
1478,XML,AceEditorExample/.classpath
545,XML,AceEditorExample/.project
185,INI,AceEditorExample/.settings/org.eclipse.core.resources.prefs
417,INI,AceEditorExample/.settings/org.eclipse.jdt.core.prefs
86,INI,AceEditorExample/.settings/org.eclipse.m2e.core.prefs
10047,(unknown),AceEditorExample/LOG_DIR_IS_UNDEFINED.log
1068,(unknown),AceEditorExample/MIT-LICENSE
186891,(unknown),AceEditorExample/logFile.2019-11-19.log
19958,(unknown),AceEditorExample/logFile.log
1135,XML,AceEditorExample/nb-configuration.xml
974,XML,AceEditorExample/nbactions.xml
1743,Maven,AceEditorExample/pom.xml
478,Java,AceEditorExample/src/main/java/module-info.java
1460,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/AceEditorExampleApp.java
18195,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/AceEditorExampleSceneController.java
4657,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/AceEditorStatusBar.java
4637,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/EditSession.java
10168,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/Editor.java
1594,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/Events.java
13112,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/FontSelectorControl.java
1860,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/JavaBridge.java
1663,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/JavaScriptBridge.java
2430,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/RecentFiles.java
3118,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/SessionDocument.java
1280,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/Settings.java
2239,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/UndoManager.java
6719,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/model/FontChooserController.java
10721,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/model/FontChooserSceneController.java
9513,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/model/FontSelectorSceneController.java
9113,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/model/NewFontSelectorSceneController.java
8620,Java,AceEditorExample/src/main/java/org/tjc/jfx/aceeditorexample/util/AceEditorExampleUtils.java
118,CSS,AceEditorExample/src/main/resources/css/styles.css
8801,FXML,AceEditorExample/src/main/resources/fxml/AceEditorExampleScene.fxml
2885,FXML,AceEditorExample/src/main/resources/fxml/FontChooser.fxml
3184,FXML,AceEditorExample/src/main/resources/fxml/FontChooserScene.fxml
5546,FXML,AceEditorExample/src/main/resources/fxml/FontSelectorControl.fxml
6647,FXML,AceEditorExample/src/main/resources/fxml/FontSelectorScene.fxml
5866,FXML,AceEditorExample/src/main/resources/fxml/NewFontSelectorScene.fxml
2392,HTML,AceEditorExample/src/main/resources/html/Ace.html
817378,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ace.js
13119,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-beautify.js
9748,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-elastic_tabstops_lite.js
53599,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-emmet.js
212,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-error_marker.js
7146,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-keybinding_menu.js
84418,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-language_tools.js
2064,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-linking.js
7134,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-modelist.js
34386,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-options.js
106639,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-prompt.js
4913,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-rtl.js
18471,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-searchbox.js
35470,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-settings_menu.js
2727,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-spellcheck.js
7136,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-split.js
7837,JavaScript,AceEditorExample/src/main/resources/js/ace/src-noconflict/ext-static_highlight.js
